Efermi (eV)	Density of charge (1/atom)	n	m	family	diameter (nm)	Ei	Ej	Plasmon freq w_p (eV)	branches	ratio	Absorption(w_p)
1.75	0.057	16	13	45	1.97	2	3	1.067	branch1	1.00	10.40
1.75	0.057	16	13	45	1.97	1	2	1.067	branch1	0.16	10.40
1.75	0.057	16	13	45	1.97	1	2	1.067	branch1	0.15	10.40
1.75	0.057	16	13	45	1.97	2	3	1.067	branch1	0.76	10.40
2.0	0.074	16	13	45	1.97	2	3	1.107	branch1	1.00	12.17
2.0	0.074	16	13	45	1.97	2	3	1.107	branch1	0.73	12.17
1.25	0.030	15	14	44	1.97	4	6	0.971	branch1	0.83	6.96
1.25	0.030	15	14	44	1.97	3	5	0.971	branch1	0.85	6.96
1.5	0.041	15	14	44	1.97	4	6	1.027	branch1	0.83	8.85
1.5	0.041	15	14	44	1.97	3	5	1.027	branch1	0.81	8.85
1.75	0.057	15	14	44	1.97	4	6	1.067	branch1	0.82	10.50
2.0	0.075	15	14	44	1.97	5	7	1.107	branch1	0.67	12.19
1.75	0.057	15	14	44	1.97	5	7	1.067	branch1	0.65	10.50
